n_threads;time(s);mPow_size
1;0.315058;12
2;0.237057;12
4;0.128288;12
8;0.0915668;12
16;0.061443;12
32;0.0341231;12
64;0.043644;12
96;0.0409086;12
1;0.322503;12
2;0.229859;12
4;0.1573;12
8;0.0677035;12
16;0.068898;12
32;0.0346373;12
64;0.0374972;12
96;0.0439341;12
1;0.624559;12
2;0.320865;12
4;0.164048;12
8;0.144402;12
16;0.0755359;12
32;0.0659233;12
64;0.0580875;12
96;0.0708714;12
1;0.5199;12
2;0.318896;12
4;0.183224;12
8;0.117064;12
16;0.0826331;12
32;0.0686886;12
64;0.0527044;12
96;0.0716834;12
1;0.548804;12
2;0.324293;12
4;0.175225;12
8;0.105741;12
16;0.0790648;12
32;0.0582719;12
64;0.0605207;12
96;0.0787408;12
1;0.477266;12
2;0.318676;12
4;0.175316;12
8;0.11115;12
16;0.0814604;12
32;0.0532277;12
64;0.0788917;12
96;0.0941088;12
1;0.457841;12
2;0.361525;12
4;0.220802;12
8;0.129686;12
16;0.0970816;12
32;0.0747571;12
64;0.0482421;12
96;0.0701482;12
1;0.389213;12
2;0.441934;12
4;0.267823;12
8;0.151126;12
16;0.099237;12
32;0.0752903;12
64;0.0531533;12
96;0.0556542;12
